"pressure","Points:0","Points:1","Points:2"
92.553,0,0,11.06
92.266,0,0,11.08
91.965,0,0,11.1
91.663,0,0,11.12
91.362,0,0,11.14
91.122,0,0,11.16
91.04,0,0,11.18
90.958,0,0,11.2
90.875,0,0,11.22
90.682,0,0,11.24
90.422,0,0,11.26
90.159,0,0,11.28
89.896,0,0,11.3
89.674,0,0,11.32
89.471,0,0,11.34
89.263,0,0,11.36
89.056,0,0,11.38
88.857,0,0,11.4
88.694,0,0,11.42
88.53,0,0,11.44
88.319,0,0,11.46
88.105,0,0,11.48
87.902,0,0,11.5
87.695,0,0,11.52
87.524,0,0,11.54
87.409,0,0,11.56
87.157,0,0,11.58
86.905,0,0,11.6
86.665,0,0,11.62
86.439,0,0,11.64
86.222,0,0,11.66
86.002,0,0,11.68
85.778,0,0,11.7
85.591,0,0,11.72
85.405,0,0,11.74
85.225,0,0,11.76
85.046,0,0,11.78
84.866,0,0,11.8
84.633,0,0,11.82
84.388,0,0,11.84
84.153,0,0,11.86
83.926,0,0,11.88
83.773,0,0,11.9
83.625,0,0,11.92
83.477,0,0,11.94
83.324,0,0,11.96
83.113,0,0,11.98
82.868,0,0,12
82.622,0,0,12.02
82.395,0,0,12.04
82.18,0,0,12.06
81.966,0,0,12.08
81.737,0,0,12.1
81.517,0,0,12.12
81.302,0,0,12.14
81.088,0,0,12.16
80.888,0,0,12.18
80.693,0,0,12.2
80.491,0,0,12.22
80.29,0,0,12.24
80.112,0,0,12.26
79.912,0,0,12.28
79.707,0,0,12.3
79.503,0,0,12.32
79.288,0,0,12.34
79.111,0,0,12.36
78.968,0,0,12.38
78.83,0,0,12.4
78.544,0,0,12.42
78.298,0,0,12.44
78.054,0,0,12.46
77.811,0,0,12.48
77.543,0,0,12.5
77.397,0,0,12.52
77.255,0,0,12.54
77.07,0,0,12.56
76.884,0,0,12.58
76.701,0,0,12.6
76.452,0,0,12.62
76.19,0,0,12.64
75.999,0,0,12.66
75.85,0,0,12.68
75.653,0,0,12.7
75.48,0,0,12.72
75.277,0,0,12.74
75.074,0,0,12.76
74.859,0,0,12.78
74.633,0,0,12.8
74.397,0,0,12.82
74.167,0,0,12.84
73.949,0,0,12.86
73.763,0,0,12.88
73.572,0,0,12.9
73.321,0,0,12.92
73.097,0,0,12.94
72.896,0,0,12.96
72.729,0,0,12.98
72.548,0,0,13
72.361,0,0,13.02
72.183,0,0,13.04
72.034,0,0,13.06
71.792,0,0,13.08
71.51,0,0,13.1
71.203,0,0,13.12
70.947,0,0,13.14
70.799,0,0,13.16
70.654,0,0,13.18
70.51,0,0,13.2
70.365,0,0,13.22
70.157,0,0,13.24
69.892,0,0,13.26
69.676,0,0,13.28
69.45,0,0,13.3
69.23,0,0,13.32
69.071,0,0,13.34
68.85,0,0,13.36
68.633,0,0,13.38
68.444,0,0,13.4
68.217,0,0,13.42
67.994,0,0,13.44
67.777,0,0,13.46
67.561,0,0,13.48
67.372,0,0,13.5
67.192,0,0,13.52
67.009,0,0,13.54
66.827,0,0,13.56
66.578,0,0,13.58
66.356,0,0,13.6
66.14,0,0,13.62
65.923,0,0,13.64
65.787,0,0,13.66
65.662,0,0,13.68
65.404,0,0,13.7
65.114,0,0,13.72
64.822,0,0,13.74
64.566,0,0,13.76
64.366,0,0,13.78
64.127,0,0,13.8
63.943,0,0,13.82
63.799,0,0,13.84
63.646,0,0,13.86
63.455,0,0,13.88
63.286,0,0,13.9
63.126,0,0,13.92
62.955,0,0,13.94
62.754,0,0,13.96
62.451,0,0,13.98
62.175,0,0,14
61.974,0,0,14.02
61.772,0,0,14.04
61.56,0,0,14.06
61.356,0,0,14.08
61.177,0,0,14.1
60.998,0,0,14.12
60.82,0,0,14.14
60.634,0,0,14.16
60.428,0,0,14.18
60.221,0,0,14.2
60.014,0,0,14.22
59.8,0,0,14.24
59.573,0,0,14.26
59.328,0,0,14.28
59.079,0,0,14.3
58.836,0,0,14.32
58.666,0,0,14.34
58.497,0,0,14.36
58.328,0,0,14.38
58.158,0,0,14.4
57.956,0,0,14.42
57.745,0,0,14.44
57.518,0,0,14.46
57.274,0,0,14.48
57.054,0,0,14.5
56.827,0,0,14.52
56.607,0,0,14.54
56.387,0,0,14.56
56.171,0,0,14.58
55.974,0,0,14.6
55.812,0,0,14.62
55.657,0,0,14.64
55.458,0,0,14.66
55.239,0,0,14.68
55.038,0,0,14.7
54.83,0,0,14.72
54.645,0,0,14.74
54.473,0,0,14.76
54.283,0,0,14.78
54.089,0,0,14.8
53.908,0,0,14.82
53.698,0,0,14.84
53.468,0,0,14.86
53.202,0,0,14.88
52.934,0,0,14.9
52.677,0,0,14.92
52.438,0,0,14.94
52.257,0,0,14.96
52.075,0,0,14.98
51.902,0,0,15
51.728,0,0,15.02
51.519,0,0,15.04
51.261,0,0,15.06
51.048,0,0,15.08
50.842,0,0,15.1
50.637,0,0,15.12
50.442,0,0,15.14
50.288,0,0,15.16
50.081,0,0,15.18
49.892,0,0,15.2
49.686,0,0,15.22
49.474,0,0,15.24
49.278,0,0,15.26
49.075,0,0,15.28
48.814,0,0,15.3
48.634,0,0,15.32
48.476,0,0,15.34
48.316,0,0,15.36
48.135,0,0,15.38
47.959,0,0,15.4
47.759,0,0,15.42
47.487,0,0,15.44
47.214,0,0,15.46
46.934,0,0,15.48
46.697,0,0,15.5
46.531,0,0,15.52
46.345,0,0,15.54
46.158,0,0,15.56
45.98,0,0,15.58
45.773,0,0,15.6
45.565,0,0,15.62
45.373,0,0,15.64
45.182,0,0,15.66
44.967,0,0,15.68
44.77,0,0,15.7
44.57,0,0,15.72
44.31,0,0,15.74
44.06,0,0,15.76
43.841,0,0,15.78
43.654,0,0,15.8
43.534,0,0,15.82
43.389,0,0,15.84
43.188,0,0,15.86
42.939,0,0,15.88
42.708,0,0,15.9
42.459,0,0,15.92
42.244,0,0,15.94
41.999,0,0,15.96
41.787,0,0,15.98
41.58,0,0,16
41.373,0,0,16.02
41.188,0,0,16.04
40.988,0,0,16.06
40.787,0,0,16.08
40.59,0,0,16.1
40.394,0,0,16.12
40.206,0,0,16.14
40.104,0,0,16.16
39.888,0,0,16.18
39.659,0,0,16.2
39.43,0,0,16.22
39.207,0,0,16.24
38.975,0,0,16.26
38.744,0,0,16.28
38.516,0,0,16.3
38.302,0,0,16.32
38.105,0,0,16.34
37.926,0,0,16.36
37.746,0,0,16.38
37.566,0,0,16.4
37.372,0,0,16.42
37.177,0,0,16.44
36.923,0,0,16.46
36.687,0,0,16.48
36.423,0,0,16.5
36.198,0,0,16.52
35.987,0,0,16.54
35.791,0,0,16.56
